"Date Range: Jan 1, 2026 - Aug 4, 2026"
"As of: 2026-08-04"
"Locations: All locations"
"Part #",Description,Category,Vendor,Location,Qty,"Unit Cost","Unit Sell","Total Cost","Total Sell",Margin,"Margin %"
1469-4D,"1/4"" BRASS TUBE X 1/2"" MALE NPT 90 ELBOW FOR NYLON DOT","HD-Hose & Fittings","Humoor Energy","Staging Lethbridge - 4310",7.00,$2.95,$5.90,$20.65,$41.30,$20.65,50.0%
27042-FT,"5/32 W/WIPER HOSE","HD-Hose & Fittings","Reson Farms","Staging Lethbridge - 4310",35.00,$0.59,$1.48,$20.65,$51.80,$31.15,60.1%
577.3002,"TOGGLE SWITCH ON/OFF","HD-Lighting & Electrical","Iview Commercial","Staging Lethbridge - 4310",6.00,$3.44,$8.20,$20.64,$49.20,$28.56,58.1%
2--N216-038BR,"115-C 3/8"" BRASS EXTRUDED 90 STREET ELBOW","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",9.00,$2.29,$4.87,$20.61,$43.83,$23.22,53.0%
1836005C1,"High Pressure Fuel Pump Mount Gasket ","HD-Engine Comp","Xistone Consulting","Staging Heavy Duty - 9919",1.00,$20.60,$34.33,$20.60,$34.33,$13.73,40.0%
HAB-8-48C,"1/2"" X 48"" AIRBRAKE w/3/8"" MALE NPT SOLID X SWIVEL","HD-Hose & Fittings",—,"Staging Lethbridge - 4310",2.00,$10.29,$19.79,$20.58,$39.58,$19.00,48.0%
PATM-30LP,"30 AMP ATM FUSE LO/PRO","HD-Lighting & Electrical","Aiboro Rentals","Staging Heavy Duty - 9919",42.00,$0.49,$1.23,$20.58,$51.66,$31.08,60.2%
177.6017,"CARIBINER CLIP FOR TENDER KIT","HD-Trailer Comp","Iview Commercial","Staging Lethbridge - 4310",11.00,$1.87,$4.07,$20.57,$44.77,$24.20,54.1%
680-E72,"7 WAY AUX SOCKET SPLIT PIN","HD-Lighting & Electrical","Weriver Electrical","Staging Heavy Duty - 9919",1.00,$20.57,$38.09,$20.57,$38.09,$17.52,46.0%
571.LD34A2,"Marker Light Kit, LED, Mini Oval, Amber","HD-Lighting & Electrical","Iview Commercial","Staging Lethbridge - 4310",2.00,$10.28,$19.77,$20.56,$39.54,$18.98,48.0%
2--1469-10C,"5/8"" BRASS TUBE X 3/8"" MALE NPT 90 ELBOW FOR NYLON DOT","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",5.00,$4.11,$8.22,$20.55,$41.10,$20.55,50.0%
2--178.2553,"ELECTRONIC FLASHER 2 TERMINAL 12VDC 2 PRONG2-10 INCANDESCENT LAMPS(44810)","HD-Lighting & Electrical","Iview Commercial","Staging Heavy Duty - 9919",2.00,$10.27,$19.75,$20.54,$39.50,$18.96,48.0%
3--178.2553,"ELECTRONIC FLASHER 2 TERMINAL 12VDC 2 PRONG2-10 INCANDESCENT LAMPS(44810)","HD-Lighting & Electrical","Iview Commercial","Staging Heavy Duty - 9919",2.00,$10.27,$19.75,$20.54,$39.50,$18.96,48.0%
561.15350,"CAC HOSE HOT CHARGE AIR","HD-Cooling & HVAC","Iview Commercial","Staging Heavy Duty - 9919",1.00,$20.54,$37.35,$20.54,$37.35,$16.81,45.0%
2--84-2440PK,"12-10GA FEMALE SLIDE DISC","HD-Lighting & Electrical","Aiboro Rentals","Staging Heavy Duty - 9919",19.00,$1.08,$2.30,$20.52,$43.70,$23.18,53.0%
60280,"Small Rectangular License Light Kit, 60261 & 43830","HD-Lighting & Electrical",—,"Staging Heavy Duty - 9919",2.00,$10.25,$19.71,$20.50,$39.42,$18.92,48.0%
ZHNM10BC-18,"18MM GR10 BLK CRS NUT",HD-Fasteners,"Aiboro Rentals","Staging Heavy Duty - 9919",25.00,$0.82,$1.82,$20.50,$45.50,$25.00,55.0%
1468-6D,"3/8"" BRASS TUBE X 1/2"" MALE NPT FOR NYLON DOT","HD-Hose & Fittings","Humoor Energy","Staging Lethbridge - 4310",8.00,$2.56,$5.12,$20.48,$40.96,$20.48,50.0%
182.6461A,"WHEEL BEARING CONE (USE WITH 182.6420)","HD-Wheel Comp","Iview Commercial","Staging Lethbridge - 4310",1.00,$20.47,$37.91,$20.47,$37.91,$17.44,46.0%
FLT12256A,"LIGHT LED 1 INX2 IN RECT AMBR","HD-Lighting & Electrical",—,"Staging Lethbridge - 4310",5.00,$4.09,$8.18,$20.45,$40.90,$20.45,50.0%
750.KT2638,"LOCK NUT/THRUST KIT MERITOR (KIT2638)","HD-Drive Train",—,"Staging Lethbridge - 4310",2.00,$10.22,$21.29,$20.44,$42.58,$22.14,52.0%
4--PC1472S-8C," 1/2"" BRASS DOT TUBE PUSH-IN X 3/8"" SWIVEL MNPT BRANCH TEE","HD-Hose & Fittings",—,"Staging Heavy Duty - 9919",2.00,$10.21,$19.63,$20.42,$39.26,$18.84,48.0%
177.13B684C,"BRASS PLC MALE CONNECTOR 1/4 X","HD-Hose & Fittings","Iview Commercial","Staging Lethbridge - 4310",5.00,$4.08,$8.16,$20.40,$40.80,$20.40,50.0%
2--1495-C,"3/8"" X 3/8""  FEM","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",6.00,$3.40,$6.80,$20.40,$40.80,$20.40,50.0%
4--PC1474S-8B," 1/2"" BRASS DOT TUBE PUSH-IN X 1/4"" SWIVEL MALE NPT 45° ELBOW","HD-Hose & Fittings",—,"Staging Heavy Duty - 9919",2.00,$10.20,$19.62,$20.40,$39.24,$18.84,48.0%
568.1043,"Metal Cover Service Leg","HD-Trailer Comp","Iview Commercial","Staging Lethbridge - 4310",3.00,$6.80,$14.78,$20.40,$44.34,$23.94,54.0%
A4721420853,"SLEEVE GUIDE HDEP EPA07/EPA10/GHG17","HD-Engine Comp","Enson Forestry","Staging Heavy Duty - 9919",12.00,$1.70,$3.15,$20.40,$37.80,$17.40,46.0%
DN-916,"9/16 DEEP NUT",HD-Fasteners,—,"Staging Lethbridge - 4310",40.00,$0.51,$1.28,$20.40,$51.20,$30.80,60.2%
"GRO 64931EA","PAR 36 UTILITY LIGHT, RUBBER TRACTOR, INCANDESCENT","HD-Lighting & Electrical","Aiboro Rentals","Staging Lethbridge - 4310",1.00,$20.39,$37.76,$20.39,$37.76,$17.37,46.0%
179.1022,"NOSEBOX ZINC DIE CAST DIE 2"" DEEP ","HD-Trailer Comp",—,"Staging Lethbridge - 4310",2.00,$10.19,$21.23,$20.38,$42.46,$22.08,52.0%
FS1022,"FUEL WATER SEP, CUMMINS ISC/ISL",HD-Filters,"Enson Forestry","Staging Lethbridge - 4310",1.00,$20.36,$35.72,$20.36,$35.72,$15.36,43.0%
N6602-12-12,"#12 MALE JIC X #12 FEMALE JIC SWIVEL X #12 MALE JIC TEE","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",4.00,$5.09,$9.98,$20.36,$39.92,$19.56,49.0%
201.7003L,"DOUBLE ENDED STUD","HD-Wheel Comp","Iview Commercial","Staging Lethbridge - 4310",11.00,$1.85,$3.94,$20.35,$43.34,$22.99,53.1%
573.1001,"PLACARD HOLDER","HD-Body Exterior","Iview Commercial","Staging Lethbridge - 4310",2.00,$10.17,$33.90,$20.34,$67.80,$47.46,70.0%
2--145-6B,"3/8"" BRASS SAE INVERTED FLARE X 1/4"" CENTER MALE NPT TEE","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",2.00,$10.16,$19.54,$20.32,$39.08,$18.76,48.0%
178.2555,"LED FLASHER 12VDC 3 Prong2W - 100W(091225)","HD-Lighting & Electrical","Iview Commercial","Staging Heavy Duty - 9919",1.00,$20.30,$37.59,$20.30,$37.59,$17.29,46.0%
N9500-10,"#10 BSPP BONDED SEAL","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",29.00,$0.70,$1.75,$20.30,$50.75,$30.45,60.0%
1468-10C,"5/8"" BRASS TUBE X 3/8"" MALE NPT FOR NYLON DOT","HD-Hose & Fittings","Humoor Energy","Staging Lethbridge - 4310",6.00,$3.38,$6.76,$20.28,$40.56,$20.28,50.0%
113.2001,"CAMSHAFT SEAL","HD-Trailer Brake Comp","Iview Commercial","Staging Lethbridge - 4310",25.00,$0.81,$1.76,$20.25,$44.00,$23.75,54.0%
1460-4,"1/4"" BRASS TUBE SLEEVE FOR NYLON DOT","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",25.00,$0.81,$1.80,$20.25,$45.00,$24.75,55.0%
NL560-016,"5/32 SYNFLEX, BLACK GENUINE SAE J844 DOT AIRBRAKE TUBING","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",25.00,$0.81,$1.80,$20.25,$45.00,$24.75,55.0%
2--84-6106PK,"1/8 RED SHRINK TUBE","HD-Shop Supply",—,"Staging Heavy Duty - 9919",11.00,$1.84,$7.36,$20.24,$80.96,$60.72,75.0%
571.MK19B1,"1""x4"" Rectangular Light Base, 1 Wire","HD-Lighting & Electrical",—,"Staging Lethbridge - 4310",11.00,$1.84,$3.83,$20.24,$42.13,$21.89,52.0%
572.96000,"POWER STEERING OIL CAP DIPSTICK ","HD-Engine Comp","Iview Commercial","Staging Lethbridge - 4310",2.00,$10.11,$18.05,$20.22,$36.10,$15.88,44.0%
"NGF 3263","Fuel Filter",HD-Filters,"Zocrest Maintenance","Staging Lethbridge - 4310",1.00,$20.22,$35.47,$20.22,$35.47,$15.25,43.0%
3--PC1462-8,"1/2"" BRASS DOT TUBE PUSH-IN UN","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",5.00,$4.04,$8.08,$20.20,$40.40,$20.20,50.0%
"5297806 ",O-Ring,"HD-Engine Comp","Enson Forestry","Staging Heavy Duty - 9919",5.00,$4.04,$7.48,$20.20,$37.40,$17.20,46.0%
6V5048,SEAL-O-RING,"HD-Engine Comp",—,"Staging Heavy Duty - 9919",4.00,$5.05,$9.35,$20.20,$37.40,$17.20,46.0%
SQT1-1/4x1-1/4x.100,"STEEL SQUARE TUBE, 1-1/4""x1-1/4""x.100""","HD-Fabrication & Building","Faburg Concrete","Staging Heavy Duty - 9919",10.00,$2.02,$4.30,$20.20,$43.00,$22.80,53.0%
2242675,SEAL-PRESS,"HD-Engine Comp",—,"Staging Heavy Duty - 9919",1.00,$20.18,$33.63,$20.18,$33.63,$13.45,40.0%
260406,"Hydraulic Filter, P717534 (Moffett) (HF35205)",HD-Filters,"Iuboro Transport","Staging Heavy Duty - 9919",1.00,$20.18,$35.40,$20.18,$35.40,$15.22,43.0%
N150-90-075BR,"3/4"" BRASS HOSE MENDER 90","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",3.00,$6.72,$13.18,$20.16,$39.54,$19.38,49.0%
TP-820-4,"9/16"" NF LOCK NUT",HD-Fasteners,"Wuboro Farms","Staging Lethbridge - 4310",32.00,$0.63,$1.58,$20.16,$50.56,$30.40,60.1%
PIC-931-11,"40/30A 12V RELAY","HD-Lighting & Electrical","Reson Farms","Staging Lethbridge - 4310",5.00,$4.03,$8.06,$20.15,$40.30,$20.15,50.0%
A39,V-Belt,"HD-Cooling & HVAC","Aiboro Rentals","Staging Lethbridge - 4310",1.00,$20.12,$30.95,$20.12,$30.95,$10.83,35.0%
1471-8C,"1/2"" BRASS TUBE X 3/8"" MALE NP","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",6.00,$3.35,$6.70,$20.10,$40.20,$20.10,50.0%
752.5103X,UJOINT,"HD-Drive Train",—,"Staging Lethbridge - 4310",3.00,$6.70,$14.57,$20.10,$43.71,$23.61,54.0%
577.23503,"COOLANT LEVEL SENSOR DETRIOT (23512880, 23520380, 23526905)","HD-Lighting & Electrical","Iview Commercial","Staging Lethbridge - 4310",1.00,$20.07,$37.17,$20.07,$37.17,$17.10,46.0%
HAB-8-40C,"1/2"" X 40"" AIRBRAKE w/3/8"" MALE NPT SOLID X SWIVEL","HD-Hose & Fittings",—,"Staging Lethbridge - 4310",2.00,$10.03,$19.29,$20.06,$38.58,$18.52,48.0%
577.3005,"TOGGLE SWITCH ON/OFF/ON (34577, 5502107)","HD-Lighting & Electrical","Iview Commercial","Staging Heavy Duty - 9919",5.00,$4.01,$8.02,$20.05,$40.10,$20.05,50.0%
2--178.55511,"RELAY MINI SKIRT 4 PIN 12V 40A SPST RSTR (3331335066, X3368720, 13501)","HD-Lighting & Electrical","Iview Commercial","Staging Heavy Duty - 9919",2.00,$10.02,$19.27,$20.04,$38.54,$18.50,48.0%
2--571.H11,"HALOGEN CAPSULE H11 12V (82100)","HD-Lighting & Electrical","Iview Commercial","Staging Heavy Duty - 9919",4.00,$5.01,$9.82,$20.04,$39.28,$19.24,49.0%
3--178.55511,"RELAY MINI SKIRT 4 PIN 12V 40A SPST RSTR (3331335066, X3368720, 13501)","HD-Lighting & Electrical","Iview Commercial","Staging Heavy Duty - 9919",2.00,$10.02,$19.27,$20.04,$38.54,$18.50,48.0%
NFF0304-C-16,"#16 FEMALE ORFS CAP","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",6.00,$3.34,$6.68,$20.04,$40.08,$20.04,50.0%
1474-6B,"3/8"" BRASS TUBE X 1/4"" MALE NPT 45 ELBOW FOR NYLON DOT","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",8.00,$2.50,$5.32,$20.00,$42.56,$22.56,53.0%
178.55510,"Relay ISO Mini 4 Pin 12V 40A SPST-NC IHC","HD-Lighting & Electrical","Iview Commercial","Staging Heavy Duty - 9919",2.00,$10.00,$19.61,$20.00,$39.22,$19.22,49.0%
2--1474-4A,"1/4"" BRASS TUBE X 1/8"" MALE NPT 45 ELBOW FOR NYLON DOT","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",10.00,$2.00,$4.26,$20.00,$42.60,$22.60,53.1%
3--76-2404PK,"22-18GA SEEMLESS BUTT CONNECTR","HD-Lighting & Electrical","Aiboro Rentals","Staging Heavy Duty - 9919",100.00,$0.20,$0.57,$20.00,$57.00,$37.00,64.9%
330-3040,"HUB CAP GASKET 4 HOLE","HD-Wheel Comp",—,"Staging Heavy Duty - 9919",8.00,$2.50,$5.32,$20.00,$42.56,$22.56,53.0%
DDE-23527272,C-O-RING,"HD-Engine Comp",—,"Staging Heavy Duty - 9919",2.00,$10.00,$18.52,$20.00,$37.04,$17.04,46.0%
N6506-06-04,"1/4"" FEMALE NPT X #04 FEMALE JIC SWIVEL STRAIGHT","HD-Hose & Fittings","Humoor Energy","Staging Lethbridge - 4310",4.00,$5.00,$10.00,$20.00,$40.00,$20.00,50.0%
NFR494-4,"FLUSHFACE DUSTCAP FOR 1/2"" BOD","HD-Hose & Fittings",—,"Staging Lethbridge - 4310",10.00,$2.00,$4.26,$20.00,$42.60,$22.60,53.1%
PATM-20LP,"20 AMP ATM FUSE LO/PRO","HD-Lighting & Electrical","Aiboro Rentals","Staging Heavy Duty - 9919",40.00,$0.50,$1.25,$20.00,$50.00,$30.00,60.0%
ZLWMS-16,"16MM STD PLATED LOCKWASHER",HD-Fasteners,"Aiboro Rentals","Staging Heavy Duty - 9919",125.00,$0.16,$0.46,$20.00,$57.50,$37.50,65.2%
1227D940,"Yoke Nut","HD-Steering & Suspension","Ruridge Mining","Staging Heavy Duty - 9919",1.00,$19.98,$37.70,$19.98,$37.70,$17.72,47.0%
670-42,"SOCKET 4 WAY","HD-Trailer Comp",—,"Staging Heavy Duty - 9919",3.00,$6.66,$14.48,$19.98,$43.44,$23.46,54.0%
78-0245,"Exhaust Gasket, 2.5"" ID, Paccar",HD-Exhaust,—,"Staging Heavy Duty - 9919",1.00,$19.98,$37.70,$19.98,$37.70,$17.72,47.0%
8392201,"HARNESS- 40A 18 GUAGE","HD-Lighting & Electrical",—,"Staging Heavy Duty - 9919",1.00,$19.98,$37.70,$19.98,$37.70,$17.72,47.0%
84-2075PK,"5 WAY FEMALE CONNECTOR","HD-Lighting & Electrical","Aiboro Rentals","Staging Heavy Duty - 9919",9.00,$2.22,$4.72,$19.98,$42.48,$22.50,53.0%
BE13240-G,"PNEUMATIC SWITCH","HD-Air Brakes & Air Suspension",—,"Staging Lethbridge - 4310",2.00,$9.99,$21.72,$19.98,$43.44,$23.46,54.0%
BE13250-G,"PNEUMATIC SWITCH","HD-Air Brakes & Air Suspension",—,"Staging Heavy Duty - 9919",2.00,$9.99,$21.72,$19.98,$43.44,$23.46,54.0%
FLTMIR4010,"MODULE MIRROR 8.5IN CONVEX OF","HD-Truck Accessories",—,"Staging Lethbridge - 4310",1.00,$19.98,$37.70,$19.98,$37.70,$17.72,47.0%
100-073,"BRIGGS & STRATTON AIR FILTER (393957S, 42291)",HD-Filters,"Oowell Services","Staging Heavy Duty - 9919",1.00,$19.97,$35.66,$19.97,$35.66,$15.69,44.0%
109869-G3,"WIRE HARNESS","HD-Air Brakes & Air Suspension",—,"Staging Lethbridge - 4310",4.00,$4.99,$10.85,$19.96,$43.40,$23.44,54.0%
42-10," 5/8"" BRASS MALE SAE X 5/8"" MALE SAE UNION COUPLING","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",7.00,$2.85,$5.70,$19.95,$39.90,$19.95,50.0%
5008414-G3,"MODEL IS DESICCANT CARTRIDGE","HD-Air Brakes & Air Suspension",—,"Staging Lethbridge - 4310",1.00,$19.95,$37.64,$19.95,$37.64,$17.69,47.0%
5P5846,"SEAL O RING","HD-Engine Comp",—,"Staging Heavy Duty - 9919",1.00,$19.95,$34.40,$19.95,$34.40,$14.45,42.0%
721005,"ELECTRIC HIGH TONE HORN 125 DEC.","HD-Truck Accessories","Weriver Electrical","Staging Heavy Duty - 9919",1.00,$19.95,$37.64,$19.95,$37.64,$17.69,47.0%
3--1472-8D,"1/2"" BRASS TUBE X 1/2"" MALE NPT BRANCH TEE FOR NYLON DOT","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",4.00,$4.98,$9.96,$19.92,$39.84,$19.92,50.0%
N63511-04-02,"#04 CRIMP COUPLING X #02 M NPT","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",6.00,$3.32,$6.64,$19.92,$39.84,$19.92,50.0%
G6151,"4"" LED Dome/License Plate Light","HD-Lighting & Electrical","Aiboro Rentals","Staging Heavy Duty - 9919",2.00,$9.95,$19.51,$19.90,$39.02,$19.12,49.0%
PIC5143-C,"3/4 ID Split Loom","HD-Lighting & Electrical",—,"Staging Lethbridge - 4310",51.00,$0.39,$1.11,$19.89,$56.61,$36.72,64.9%
107695-G3,"MODEL 4/9 DRYER BRACKET KIT","HD-Air Brakes & Air Suspension","Toshore Electrical","Staging Lethbridge - 4310",2.00,$9.94,$21.61,$19.88,$43.22,$23.34,54.0%
1492-8C,"1/2"" X 3/8"" BRASS MALE NPT FOR RUBBER DOT HOSE","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",4.00,$4.97,$9.94,$19.88,$39.76,$19.88,50.0%
571.LD153R3,"CONTAINS 3 PCS 571.LD15R6 LIGHTS, BLACK POLYCARBONATE BAR","HD-Lighting & Electrical","Iview Commercial","Staging Lethbridge - 4310",1.00,$19.88,$37.51,$19.88,$37.51,$17.63,47.0%
B68,"68 LIGHT BULB","HD-Lighting & Electrical",—,"Staging Heavy Duty - 9919",14.00,$1.42,$3.02,$19.88,$42.28,$22.40,53.0%
100255,"OIL FILTER WIXWL10255",HD-Filters,"Zocrest Maintenance","Staging Lethbridge - 4310",2.00,$9.93,$19.20,$19.86,$38.40,$18.54,48.3%
GRO43690EA,"LIGHT MOUNTING BRACKET","HD-Lighting & Electrical","Zocrest Maintenance","Staging Lethbridge - 4310",6.00,$3.31,$6.62,$19.86,$39.72,$19.86,50.0%
PC1462-2.5,"5/32"" BRASS DOT TUBE PUSH-IN UNION COUPLING","HD-Hose & Fittings","Humoor Energy","Staging Lethbridge - 4310",6.00,$3.31,$6.62,$19.86,$39.72,$19.86,50.0%
N6600-10-10,"#10 MALE JIC X #10 MALE JIC X #10 FEMALE JIC SWIVEL TEE","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",5.00,$3.97,$7.94,$19.85,$39.70,$19.85,50.0%
"10'X2""X10""","10'X2""X10"" BOARD","HD-Fabrication & Building","Duhaven Maintenance","Staging Lethbridge - 4310",1.00,$19.84,$28.34,$19.84,$28.34,$8.50,30.0%
577.3043-12,"STARTER SOLENOID 3 TERMINAL 85A 12V (24106, 5231201, 52312)","HD-Lighting & Electrical","Iview Commercial","Staging Lethbridge - 4310",1.00,$19.84,$37.43,$19.84,$37.43,$17.59,47.0%
CM-107479,"WHEEL STUD CONMET","HD-Tires & Rims",—,"Staging Lethbridge - 4310",2.00,$9.92,$21.57,$19.84,$43.14,$23.30,54.0%
E580,"WASHER, S-CAM (1-17/32"" I.D., 2-1/4"" O.D., 1/16"" THICK)","HD-Heavy Duty Brake Comp","Zoburg Maintenance","Staging Heavy Duty - 9919",31.00,$0.64,$1.39,$19.84,$43.09,$23.25,54.0%
FF5206,"FUEL FILTER, DETROIT ",HD-Filters,"Enson Forestry","Staging Lethbridge - 4310",3.00,$6.61,$13.49,$19.83,$40.47,$20.64,51.0%
FF5207,"FUEL FILTER, DETROIT ",HD-Filters,"Enson Forestry","Staging Lethbridge - 4310",3.00,$6.61,$13.49,$19.83,$40.47,$20.64,51.0%
48100225,"LINKAGE KIT HALDEX (NEWAY SRK168)","HD-Air Brakes & Air Suspension",—,"Staging Lethbridge - 4310",1.00,$19.82,$37.40,$19.82,$37.40,$17.58,47.0%
1474-6A,"3/8"" BRASS TUBE X 1/8"" MALE NPT 45 ELBOW FOR NYLON DOT","HD-Hose & Fittings","Humoor Energy","Staging Lethbridge - 4310",7.00,$2.83,$5.66,$19.81,$39.62,$19.81,50.0%
1462-6,"3/8"" BRASS TUBE UNION COUPLING FOR NYLON DOT","HD-Hose & Fittings","Humoor Energy","Staging Lethbridge - 4310",9.00,$2.20,$4.68,$19.80,$42.12,$22.32,53.0%
2--N221-038BR,"124-C 3/8"" BRASS EXTRUDED 45 STREET ELBOW","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",9.00,$2.20,$4.68,$19.80,$42.12,$22.32,53.0%
2--PC1469S-6B,"3/8"" BRASS DOT TUBE PUSH-IN X 1/4"" SWIVEL MALE NPT 90 ELBOW","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",4.00,$4.95,$9.90,$19.80,$39.60,$19.80,50.0%
562.A4002C,"CHROME STEEL PUSH ON 33MM (17800)","HD-Truck Accessories","Iview Commercial","Staging Heavy Duty - 9919",60.00,$0.33,$0.72,$19.80,$43.20,$23.40,54.2%
562.A4006CP,"CHROME PLASTIC PUISH ON On 33MM","HD-Truck Accessories","Iview Commercial","Staging Heavy Duty - 9919",36.00,$0.55,$1.20,$19.80,$43.20,$23.40,54.2%
750.2507411,"STUB SHAFT LOCK NUT","HD-Drive Train","Iview Commercial","Staging Heavy Duty - 9919",2.00,$9.90,$21.52,$19.80,$43.04,$23.24,54.0%
800350-175,"PRESSURE RELIEF VALVE 175 PSI","HD-Air Brakes & Air Suspension",—,"Staging Heavy Duty - 9919",2.00,$9.90,$21.52,$19.80,$43.04,$23.24,54.0%
HIB-9809945,KNOB-BLACK,"HD-Equipment & Hydraulics","Iuboro Transport","Staging Heavy Duty - 9919",4.00,$4.95,$9.90,$19.80,$39.60,$19.80,50.0%
N62ET-24,"1.18-1.93"" (30-49mm) <301 STAINLESS> LINER GEAR CLAMP","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",20.00,$0.99,$2.20,$19.80,$44.00,$24.20,55.0%
N6801-06-08,"#06 MALE JIC X #08 MALE ORB 90","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",10.00,$1.98,$4.21,$19.80,$42.10,$22.30,53.0%
PC1468-4A,"1/4"" BRASS DOT TUBE PUSH-IN X 1/8"" MALE NPT","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",9.00,$2.20,$4.68,$19.80,$42.12,$22.32,53.0%
N6802-16-16,"#16 MALE JIC X #16 MALE ORB 45","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",3.00,$6.59,$12.92,$19.77,$38.76,$18.99,49.0%
N68SL-306,"3.03-3.35"" (77-85mm) SPRING LOADED T-BOLT CLAMP","HD-Cooling & HVAC","Humoor Energy","Staging Lethbridge - 4310",5.00,$3.95,$8.59,$19.75,$42.95,$23.20,54.0%
WIXWL10060,"*non stk*OIL FILTER",HD-Filters,"Reson Farms","Staging Lethbridge - 4310",1.00,$19.75,$35.27,$19.75,$35.27,$15.52,44.0%
TBC-350,"T-BOLT CLAMP -3.25"" X 3.56""","HD-Hose & Fittings","Uivale Consulting","Staging Heavy Duty - 9919",3.00,$6.58,$12.90,$19.74,$38.70,$18.96,49.0%
CS8SC-056-450,"9/16""X4-1/2"" NC BOLT (GR8, HEX)",HD-Fasteners,"Aiboro Rentals","Staging Heavy Duty - 9919",9.00,$2.19,$4.66,$19.71,$41.94,$22.23,53.0%
N68SL-338,"3.39-3.70"" (86-94mm) SPRING LOADED T-BOLT CLAMP","HD-Hose & Fittings","Humoor Energy","Staging Lethbridge - 4310",5.00,$3.94,$7.88,$19.70,$39.40,$19.70,50.0%
VLED-WL-20,"4"" 27w Square LED Work Light Flood","HD-Lighting & Electrical",—,"Staging Heavy Duty - 9919",1.00,$19.70,$37.17,$19.70,$37.17,$17.47,47.0%
1474-10D,"5/8"" BRASS TUBE X 1/2"" MALE NPT 45 ELBOW FOR NYLON DOT","HD-Hose & Fittings","Humoor Energy","Staging Lethbridge - 4310",4.00,$4.92,$9.84,$19.68,$39.36,$19.68,50.0%
182.592A,"WHEEL BEARING CUP (USE WITH 182.594A OR 182.598A)","HD-Wheel Comp","Iview Commercial","Staging Lethbridge - 4310",2.00,$9.84,$19.29,$19.68,$38.58,$18.90,49.0%
562.A4033R,"Chrome Steel Push On 33MM","HD-Truck Accessories","Iview Commercial","Staging Lethbridge - 4310",41.00,$0.48,$1.04,$19.68,$42.64,$22.96,53.9%
6654,"1/0 GA CRIMP SPLICER","HD-Lighting & Electrical","Aiboro Rentals","Staging Heavy Duty - 9919",6.00,$3.28,$6.56,$19.68,$39.36,$19.68,50.0%
177.12C658,"PLC UNION ELBOW 1/2","HD-Hose & Fittings",—,"Staging Heavy Duty - 9919",2.00,$9.83,$19.27,$19.66,$38.54,$18.88,49.0%
N2603-16-16,"#16 MALE JIC X #16 MALE JIC X #16 MALE JIC TEE","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",3.00,$6.55,$12.84,$19.65,$38.52,$18.87,49.0%
N63531-04-04,"#04 BW CRIMP COUPLING X #04 FEMALE JIC SWIVEL STRAIGHT","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",5.00,$3.93,$7.86,$19.65,$39.30,$19.65,50.0%
1469-4C,"1/4"" BRASS TUBE X 3/8"" MALE NPT 90 ELBOW FOR NYLON DOT","HD-Hose & Fittings","Humoor Energy","Staging Lethbridge - 4310",8.00,$2.45,$5.21,$19.60,$41.68,$22.08,53.0%
2--862-2.5,"5/32"" AIR SHIFT TRANSMISSION UNION COUPLING","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",10.00,$1.96,$4.17,$19.60,$41.70,$22.10,53.0%
CS-1605A,"Dust Cap ","HD-Trailer Comp","Wuboro Farms","Staging Lethbridge - 4310",8.00,$2.45,$5.33,$19.60,$42.64,$23.04,54.0%
PC1469S-4A,"1/4"" BRASS DOT TUBE PUSH-IN X 1/8"" SWIVEL MALE NPT 90 ELBOW","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",5.00,$3.92,$7.84,$19.60,$39.20,$19.60,50.0%
