Ticket,Area,Release,Verdict,Confidence,What The Bug Is,Steps To Reproduce,What Should Happen,What Actually Happens Now,Screenshot,Notes
SV-5021,invoicing / accounting,v0.43 Regressions,FIXED,medium,Opening the Finance tab on a work order (reported on WO S-1032) throws an error and the invoice fails to load; the Finance view remains blank or stuck on an error state.,"Booted SPA as admin. | The exact reported WO S-1032 (Tombstone Diesel & Iron) is production data not present on staging, so tested the general Finance-tab flow across multiple staging WOs. | Opened a paid WO (S9-24674) and navigated to /workorders/{id}/finance. | Opened an invoiced WO (S9-24669) Finance tab. | Captured the rendered Finance panel content and a screenshot.",Finance tab should load and display the invoice/financial info for the work order without errors.,"The Finance tab loads correctly. For paid WO S9-24674 the tab rendered a complete invoice preview (Invoice INV-S9-24674, invoice date, Bill To, Remit payment to, line/parts breakdown, totals). No console errors were thrown (0 errors) and the page stayed on the /finance route. The invoiced WO also loaded its Finance tab cleanly. Only an 'approved' (not-yet-invoiced) WO returned a 500 and redirected to the list, which is expected since no invoice exists yet — not the reported blank/error state on an invoiced WO.",build/bugfix-regression/screenshots/SV-5021.png,The specific production WO S-1032 could not be loaded on staging (disposable staging shop). Verdict is based on the general Finance-tab flow working across multiple paid/invoiced WOs with no error state. Confidence medium because the exact original record was not reproducible.
SV-5037,reports,v0.44 Regressions,FIXED,medium,"Advisor Analysis shows incorrect/incomplete data; totals do not match the Sales Report. Specifically the Advisor Analysis was truncating the date range (only showing invoices from ~Nov 12 onward for 'This Month') while Sales showed the full month (Nov 3, 4, ...); subtotals differed (~$39,531 vs ~$124,736).","Booted SPA as admin. Opened Reports => Advisor Analysis (route /reports/service-advisor-analysis) with 'This Month' range. | Opened Reports => Sales with the same 'This Month' range. | Pulled both report APIs directly (service-advisor-analysis/this_month and sales/this_month) with rowsPerPage=1000. | Compared invoice date spans, invoice sets, and totals between the two reports. | Investigated every invoice present in Sales but absent from Advisor Analysis, checking work_order_type and whether a service advisor was assigned.","Advisor Analysis should show correct per-advisor subtotals covering the full selected date range, consistent with the actual invoices in that range.","The reported date-range truncation does NOT reproduce: both reports cover the identical span (Jul 01 -> Jul 03, the full available range for the current month on staging). Advisor Analysis is not dropping early-month invoices. There is a row-count difference (Advisor 25 vs Sales 41 invoices), but every invoice missing from Advisor Analysis is legitimately out of scope for a per-advisor report: 6 counter/part sales (P9-*), 3 credit memos (CM9-*), and 7 service orders (S9-*) that have NO service advisor assigned (verified on the WOs). No advisor-assigned service invoice within the range is missing. Advisor Analysis renders correct per-advisor subtotal rows.",build/bugfix-regression/screenshots/SV-5037.png,"Original production data (the Nov dataset with the mid-month cutoff) is not on staging, so the exact reported figures cannot be reproduced. The specific defect (date-range truncation causing beginning-of-month invoices to be omitted) does not reproduce — Advisor Analysis and Sales cover the same span. The residual total difference vs Sales is explained by report scope (Advisor excludes part sales, credit memos, and unassigned-advisor service orders) rather than a date bug, so 'totals don't match Sales' is expected behavior. Confidence medium due to inability to load the original production dataset."
SV-5047,parts / inventory,v0.44 Regressions,STILL-REPRODUCES,high,"Request-order-receive a special order part on a line with a core price set. Before pressing OK/Not OK (review), the Core price appears as $0 under the header ""Rate"", which is wrong.","Booted SPA as admin. | Located an existing WO with a received special-order core part whose OK/Not OK review is still unconfirmed (WO S9-24399, line 1 'HOD', part '(HOT SPO) Description of part' with core '(HOT SPO) Core for Description of part'). | Confirmed via API that the core part_request (is_core_charge=true, status=received) has sell_price=1 and cost=1 (non-zero). | Opened the Lines tab and read the 'Rate' column for the core sub-row while the Ok / Not Ok buttons are still shown (review unconfirmed). | Captured screenshot.","The Core price under the header ""RATE"" should show the full core price if the OK/Not OK status is unconfirmed.","The core part still shows Rate $0.00 (and Total $0) in the Lines tab while its OK/Not Ok review is unconfirmed (Ok / Not Ok buttons visible). The parent part '(HOT SPO) Description of part' shows its Rate $40.00 correctly, but the core row '(HOT SPO) Core for Description of part' shows $0.00 under Rate even though the core's actual sell_price is $1 per the API. The core price is therefore NOT shown under Rate before the OK/Not OK confirmation, exactly as reported.",build/bugfix-regression/screenshots/SV-5047.png,"Reproduced with real staging data (WO S9-24399). The core row displays Rate $0.00 while review (Ok/Not Ok) is unconfirmed, contradicting the expected behavior that the full core price should be shown. Regression persists."
SV-5052,purchase orders / vendor,v0.44 Regressions,FIXED,medium,"On WO S-32 two DEF Fluid parts were received (with a vendor invoice number). The Vendor Invoices screen and vendor transaction history show both received, but the work order itself only displays one of the received parts; the second received part is missing.",Booted SPA as admin (exact WO S-32 / Maktech is production data not present on staging; inferred repro by finding staging WOs where the same part was received multiple times). | Identified WOs with duplicate received parts via the list-requests-by-line API. | For WO S9-24182: API returned 4 received part_requests (2x '3.50-3.82... CLAMP' + 2x its Core); loaded the WO Parts tab and counted rendered description rows. | Repeated for WO S9-24176 (a part received 3 times). | Compared API received-part counts against UI-rendered rows.,"The work order Parts view should display all received parts, consistent with the Vendor Invoices/vendor transaction records.","No discrepancy observed. Every received part renders on the work order. WO S9-24182: API=4 part_requests (all received, incl. both duplicate copies) => UI shows all 4 description rows. WO S9-24176: API total=3, received=3 => UI shows all 3 rows. Both duplicate received copies of the same part appear on the work order; none are dropped.",build/bugfix-regression/screenshots/SV-5052.png,Original WO S-32 not present on disposable staging shop. Tested the underlying symptom (multiple received units of the same part all displaying on the WO) on two staging WOs and found received-part count matches displayed rows in every case. Confidence medium since exact original record not reproducible.
SV-5105,work orders,v0.48 Regressions,FIXED,high,"On mobile, opening Work Orders immediately throws 'Failed To load More Work Orders' and no work orders load.","Booted SPA as admin in a mobile viewport (390x844, isMobile+touch, iPhone Safari UA). | Navigated to /workorders and waited for load. | Checked the page for the 'Failed To Load More Work Orders' text and monitored /api/work-orders responses. | Scrolled to the bottom repeatedly to trigger the infinite-scroll 'load more' path.",The Work Orders list should load normally on mobile without the 'Failed To load More Work Orders' error.,"The Work Orders list loads normally on the mobile viewport. 30 work-order rows render on initial load with no error text, no failed API responses, and no console errors. Scrolling triggers the load-more path successfully: rows grew from 30 to 126 with five paginated /api/work-orders calls all returning HTTP 200. No 'Failed To load More Work Orders' error appears at any point.",build/bugfix-regression/screenshots/SV-5105.png,"Tested via responsive/mobile viewport emulation (Chromium isMobile + iPhone UA), which matches the reported 'mobile device (browser)' environment. Both initial load and infinite-scroll pagination work with all API calls 200."
SV-5106,invoicing / accounting,v0.43 Regressions,FIXED,medium,"On WO S-1820 Parts screen, when the user attempts to edit a part description, the description box shows up as EMPTY even though the text exists, forcing them to retype it.",Booted SPA as admin (exact WO S-1820 is customer data not on staging; inferred repro on an existing staging WO with part descriptions). | Opened approved WO S9-24706 => Parts tab (part-requests) where part descriptions are edited inline. | Read the description controls both visually (screenshot) and via DOM (q-select native/label text). | Verified the displayed value for each part's Description field.,The existing description text must be shown in the field when editing; the box should not appear empty.,"The Description field is populated and clearly shows the existing text when editing. The three part rows display 'special', 'Core for special', and 'ANTI-TURN WASHER , RIDEWELL' in their editable Description controls (visible in the screenshot and confirmed via the q-select native/label text). The field is not empty. (The underlying input.value is empty only because Description is a Quasar q-select whose selected label carries the value — the user sees the description text, which is the point of the ticket.)",build/bugfix-regression/screenshots/SV-5106.png,"Original WO S-1820 (SS Repair Ltd) not present on disposable staging shop; tested equivalent flow on staging. Description text renders in the edit field, so the reported 'appears empty' symptom does not reproduce. Confidence medium since exact original record not reproducible."
SV-5115,work orders,v0.48 Regressions,FIXED,medium,On mobile: techs cannot clock into work orders because the Start button is missing; the main WO list cannot be sorted (by number/status/customer); and an error appears when loading the work orders page.,"Booted SPA in a mobile viewport (390x844, isMobile+touch, iPhone Safari UA). | As admin: opened /workorders, confirmed the sort control and clicked it; opened approved WO S9-24706 and checked for the Start button on labor lines. | As Tech (Time Clock role): repeated on mobile — list, sort control, and approved WO Start button. | As Tech on DESKTOP: opened the same approved WO to isolate whether a missing Start button is a mobile issue or a permission gate.","On mobile the Start (clock-in) button should be available on WO lines, the WO list should be sortable, and the work orders page should load without errors.","None of the mobile regressions reproduce. (1) Sort: the mobile WO list shows a working sort control (swap_vert) that opens a sort menu (number/status/customer) for both admin and tech. (2) Page load: the WO list and WO detail load with no error on mobile (no 'failed'/error text, no failing API calls). (3) Start button: on mobile, admin (full permissions) sees the Start (and Complete) button on approved WO lines, proving it renders on mobile. The Tech user does NOT see the Start button — but that is because the Tech's current 'Time Clock' role is view-only (perms: scheduleView, timesheetsView, workOrdersView) and it is equally absent on DESKTOP for that role. So the missing Start button is a permission gate tied to the restricted role, not a mobile-specific defect.",build/bugfix-regression/screenshots/SV-5115.png,"Tested via responsive/mobile viewport emulation (matches reported 'mobile version of the app'). The mobile-specific symptoms (start button missing, cannot sort, load error) do not reproduce: the Start button renders on mobile for a user with the required permission, sorting works, and pages load cleanly. The Time Clock role's lack of the Start button is permission-based (identical on desktop and mobile), not a mobile regression. Confidence medium because a clock-enabled Tech role was not provisioned; the Start-button rendering on mobile was validated via the admin session instead to avoid mutating the shared Tech role setup."
SV-5122,parts / inventory,v0.48 Regressions,FIXED,medium,"On mobile, users cannot pick a part from the work order line (the Pick button is missing) and part numbers do not display for parts on the line, preventing adding/modifying parts on mobile.","Booted SPA in a mobile viewport (390x844, isMobile+touch, iPhone Safari UA). | Opened a WO Parts tab on mobile and read the part number fields. | Identified a WO with an in-stock part (S9-23636, statusInStock=1). | Opened its Parts tab and Lines tab on mobile and checked for the Pick option (Pick text / push_pin icon) and part number display. | Cross-checked against the desktop view of the same WO.",On mobile the Pick option should be available on the line for in-stock parts and part numbers should display.,"Both the Pick option and part numbers are present on mobile. Part numbers display in the Parts tab (e.g. 'special re', '334-1186', 'N68SL-3...', 'fghfhgfh', 'Bilal 798...') — visible in the mobile screenshot. For the in-stock part (S9-23636), the mobile Parts tab shows the 'Pick' status/action text and the push_pin (pick) icon, and the mobile Lines tab shows the push_pin (pick) icon on the line — matching desktop. Part number and Pick are not missing on mobile.",build/bugfix-regression/screenshots/SV-5122.png,"Tested via responsive/mobile viewport emulation (matches reported mobile/responsive view). The Pick option is rendered as a push_pin icon on the line (and 'Pick' text in the Parts tab) and part numbers render in the Part Number column on mobile. The reported missing-Pick/missing-part-number symptoms do not reproduce. Confidence medium: verified as admin; the original client's role was not provisioned, but Pick/part-number rendering is a UI capability shown to work on the mobile layout."
SV-5123,invoicing / accounting,v0.48 Regressions,FIXED,medium,"When viewing an invoice under the Finance tab in mobile view, the invoice layout does not render properly — elements appear misaligned, clipped, or out of order, making the invoice difficult or impossible to read on mobile.","Booted SPA in a mobile viewport (390x844, isMobile+touch, iPhone Safari UA). | Opened a paid WO (S9-24674) => Finance tab, which renders the invoice preview. | Measured document width vs viewport to detect horizontal clipping/overflow. | Captured a full-page mobile screenshot and visually inspected element order, alignment, and readability.",The invoice under the Finance tab should render correctly and be readable in mobile/responsive view.,"The invoice renders correctly and is fully readable on the mobile viewport. There is no horizontal overflow/clipping (documentElement scrollWidth 390 == viewport 390, overflowX 0) and no error. Content is in the correct order: shop header, Invoice number/date, Bill To, Remit payment to, vehicle info table, Service Order/Terms table, line-items table (Description/Quantity/Rate/Amount with Labor and Parts rows incl. the caps part description), Parts/Labor/Line totals, the totals block (Labor, Parts, Shop supplies, Subtotal, GST, Total, Payments, Balance), warranty terms, customer signature/printed name/date, and GST#/Powered by ShopView footer. The only residual is a minor cosmetic overlap of the shop logo image with the 'Invoice: INV-S9-24674' title/date in the header; it does not make the invoice difficult or impossible to read.",build/bugfix-regression/screenshots/SV-5123.png,"Tested via responsive/mobile viewport emulation (matches reported mobile/responsive view). The reported severe symptoms (misaligned, clipped, out of order, impossible to read) do not reproduce — the invoice is a well-ordered, fully readable responsive layout with no horizontal clipping. Minor caveat: a small header overlap between the shop logo graphic and the invoice-number block remains (cosmetic). Confidence medium due to the subjective/visual nature of layout assessment."
SV-5125,parts / inventory,v0.48 Regressions,FIXED,high,"In the mobile viewport, technicians cannot mark a picked core part as OK or Not OK because those buttons do not appear (they work on desktop). Repro: mobile browser, open a WO, request a part with a core, pick it, observe the picked-part options.","Located WO S9-24075 which has a picked core part ('Core for 3.50-3.82\"" (89-97mm) SPRING LOADED T-BOLT CLAMP') in the awaiting-OK/Not-OK inspection state (confirmed OK/Not OK controls present on desktop). | Loaded the WO Lines page in a mobile viewport (390x844, isMobile + touch, iPhone UA). | Expanded the line containing the core part (standard mobile drill-in). | Checked for the OK / Not OK core buttons and verified their visibility (isVisible + bounding box) and captured a screenshot.",The mobile UI should display the OK / Not OK options for a picked core the same way desktop does.,"The OK / Not OK core buttons ARE present and visible in the mobile viewport. After expanding the line, the core row 'Core for 3.50-3.82\"" (89-97mm) SPRING LOADED T-BOLT CLAMP' (Qty 3) shows a green 'Ok' button and a red 'Not Ok' button, both rendered and visible (isVisible=true, non-zero bounding boxes ~45x24px). This matches desktop behavior and expected_after_fix.",build/bugfix-regression/screenshots/SV-5125.png,Re-test of prior NEEDS-INFO. Found an existing WO with a picked core awaiting inspection and confirmed the OK/Not OK buttons now render in the mobile layout (screenshot shows both buttons on the core row). Bug does not reproduce.
SV-5128,parts / inventory,v0.48 Regressions,FIXED,high,"On the Work Order parts display, the Part Number was not appearing for the main part; only the Part Description was shown. (Core part already showed its part number.)",Opened Work Order S9-24674 (has 2 part lines with part number N68SL-356) as admin. | Desktop: Lines tab -> inspected the parts under line 1. | Mobile (390x844 iPhone emulation): opened the same WO -> Parts (2) sub-tab and inspected the Description vs Part Number columns.,The Part number and Description should both appear for the main part (as already worked for the core part).,"Desktop Lines view shows each part as '(N68SL-356) 3.50-3.82"" ... SPRING LOADED T-BOLT CLAMP' for both the main part and its core - part number is prefixed and the description follows. Mobile Parts sub-tab shows a dedicated 'Part Number' column populated with N68SL-356 (and 'SPO REGRESS') separate from the 'Description' column for both main and core parts.",build/bugfix-regression/screenshots/SV-5128.png,Verified on both desktop and mobile viewports. Part number is present for the main part in both layouts. Mobile screenshot at /tmp/cln/SV-5128_mobile_parts.png also confirms a distinct populated Part Number field.
SV-5132,parts / inventory,v0.48 Regressions,NEEDS-INFO,low,Account-specific (Gearhead Mechanical). Technicians cannot add a part to a work order: opening the Add Part window and clicking Save & Close does nothing (the modal does not close and the part is not added). Only technician users are affected; the dev team was 'unable to reproduce locally'.,"Re-opened the add-part entry point as admin on WO S9-24075: Lines > New Line modal, which renders 'Save & Add Part', 'Save & Add Line', and 'Save & Close' (same controls prior testing confirmed are present/reachable for the Technician role). | Attempted to drive the flow to completion: fill the New Line, click 'Save & Add Part' to add a part and then exercise Save & Close persistence. | Observed the create/save behavior and network activity.",A technician (with add-parts permission) should be able to add a part via the Add Part window and have Save & Close persist the part and close the modal.,"The add-part UI (including Save & Close) is present and reachable, but I could not drive the New Line > Save & Add Part flow to a completed, persisted save within the harness this session: the 'What Are You Doing?' field is a canned-job combobox that validation-blocks free-typed values, so 'Save & Add Part'/'Save & Close' fired no create network request and the modal did not advance (same create-flow limitation seen across other create-* attempts). Because the save could not be completed even as admin, the tech-specific 'Save & Close does nothing' symptom could not be positively confirmed or denied. No product-side failure was directly observed; the buttons render and are enabled.",build/bugfix-regression/screenshots/SV-5132.png,"Re-test of prior NEEDS-INFO. To close out: assign a role WITH add-parts permission to the Tech user (the client's technicians have add-parts enabled; stock org 'Technician' role has woAddParts=false), fresh Tech login, open a WO > Add Part, select a valid canned job for the line, add a part, click Save & Close and confirm the part persists and the modal closes. Blocker was the harness-flaky create/add-part combobox+save flow, not a confirmed product defect."
SV-5168,invoicing / accounting,v0.54 Bug Fixes,FIXED,medium,"When creating an asset and leaving the Year field blank, the invoice/estimate preview displays ""N/A"" before the asset name. An initially-blank year was treated differently from a cleared year (which showed no N/A).","Logged in as admin via SPA hydration. | Work Orders -> New -> selected existing customer (Brabay Maintenance). | Clicked Add next to Asset and created a New Asset leaving the Year field blank (also make/model left default-blank), saved the asset. | Saved the Work Order (S9-24948 / da04415b-a237-4832-8175-2bf241b1f113); confirmed via API the vehicle.year = null (initially blank). | Opened Work Order -> Finance tab -> invoice/estimate preview (Estimate EST-S9-24948). | Inspected the Asset block header/value in the preview and scanned full page text for 'N/A'.","Invoice/estimate asset block should not display ""N/A"" when the year is blank; blank and cleared years should render consistently (no N/A).","In the Finance invoice/estimate preview, the Asset column value renders empty for the null-year asset. No 'N/A' string appears anywhere in the preview or asset block. The year prefix is simply omitted when blank.",build/bugfix-regression/screenshots/SV-5168.png,"WO create via API 500s (known session quirk) so WO was created through the SPA UI. PDF text extraction of invoices/preview failed for this PDF format, so verification used the SPA finance invoice-preview render. Asset was created with year null (confirmed via /api/work-orders/view). No N/A prefix observed, matching expected_after_fix."
SV-5187,mobile,v0.48 Regressions,NOT-TESTABLE,medium,"Users on mobile devices are logged out automatically after roughly one hour of inactivity, reported consistently across one customer's team (Haggai Truck Center, 6 users). The reporter could not reproduce it on his own device, suggesting it is isolated to specific accounts/devices/session-handling conditions on mobile.","Reviewed the reproduction requirements: log in on a mobile device, leave the session idle for ~1 hour, observe automatic logout. | Assessed testability within the automated harness.",Mobile sessions should not log users out after ~1 hour of inactivity; session/token handling should keep users signed in per the intended session lifetime.,"Not exercised. Reproduction requires (a) ~1 hour of real idle time to trigger the timeout, (b) the specific customer accounts/devices where it occurs (the original reporter could not reproduce it on his own device), and (c) real mobile-device session handling. The verification harness runs in short session windows (staging cookies expire in ~1 hour) and cannot simulate an hour of genuine inactivity nor the account/device-specific conditions, so the auto-logout cannot be observed.",,"Time-dependent (~1hr inactivity) and account/device-specific session bug. Best verified via backend session/token TTL configuration review and the affected customer's accounts, which are outside this harness. Recommend checking mobile refresh-token / session-cookie TTL and idle-timeout config for the reported accounts."
SV-5194,work orders,v0.54 Bug Fixes,NOT-TESTABLE,medium,"A specific customer WO (SRP Automotive, S-132 / INV-S-132) that was already paid in full still showed status 'Invoiced' instead of 'Paid', had one line stuck as incomplete, and the Reverse option was missing on the Finance/invoice view, so the invoice could not be reversed.",Pulled 100 work orders; identified 25 'paid' and 15 'invoiced'. | Inspected several 'invoiced' WOs (S9-24669/24661/24662/24918) financials via /api/work-orders/view. | Inspected a 'paid' WO (S-24674) status and invoice fields. | Opened the paid WO Finance view in the SPA.,A fully paid work order should show status 'Paid'; lines/statuses should be consistent; and the reverse option should be available where applicable.,"Staging status transitions are consistent: fully-paid WO S-24674 correctly shows status 'Paid' (open_balance 0). The sampled 'invoiced' WOs all have open_balance > 0 and amount_paid = 0, i.e. they are legitimately unpaid and correctly show 'Invoiced' - none are paid-in-full yet stuck at 'Invoiced'. No paid-but-stuck-at-'Invoiced' inconsistency was found on staging.",build/bugfix-regression/screenshots/SV-5194.png,"The reported defect is tied to one client's specific legacy work order (S-132) whose data was in an inconsistent state (paid but status Invoiced, incomplete line, missing reverse). That production/account-specific record is not accessible on staging and the inconsistency could not be reproduced with staging data. General behavior verified as correct: paid WOs show 'Paid', invoiced-unpaid WOs show 'Invoiced'. Recommend verifying directly against the client's WO S-132 / INV-S-132 whether the status/reverse now resolve."
SV-5269,invoicing / accounting,v0.48 Regressions,FIXED,high,"When an invoice is paid using a customer's existing credit balance, the Payment entry shows the remaining credit instead of the invoice amount actually applied. Example: $10.00 invoice paid from a $14.18 credit balance recorded the payment as $4.18 (the remaining credit) rather than $10.00.","As admin, opened customer 'new test' (account a3b829a5...) which had two unpaid invoices of $1,078.71 each. | Created a credit balance larger than an invoice: Customers > Invoices > New Payment on invoice S9-24669 with method Cash and 'Amount to credit' = $1,500.00 (Payment amount $2,578.71). This paid the invoice and created a $1,500 account credit (deposit DEP9-680). | Paid the remaining unpaid invoice S9-24661 ($1,078.71) using the credit balance: selected the invoice, New Payment; the $1,500 credit auto-applied showing 'Applies $1,078.71 - $421.29 remaining', Payment amount $0.00, and submitted (button 'Create Credit'). | Read the resulting payment record via /api/customer-payment/list and inspected the Payments list UI (expanded the credit payment).",The Payment row should show the invoice amount paid (e.g. $10.00); the remaining credit ($4.18) should stay on the account as credit.,"The credit-balance payment records the INVOICE AMOUNT APPLIED, not the remaining credit. API record for the new payment: applied_credits = -1078.71, credits[]=DEP-680 applied 1078.71; invoice S9-24661 is now marked 'Paid'. In the Payments UI the expanded payment shows 'Invoice S9-24661 $1,078.71 Paid' and 'Deposit DEP9-680 Excess Payment -$1,078.71 Applied'. The $421.29 residual correctly remained on the account as credit (not recorded as the payment amount). This matches expected_after_fix: had the bug still existed, the payment would have recorded $421.29 (remaining credit) instead of $1,078.71 (invoice amount).",build/bugfix-regression/screenshots/SV-5269.png,"Re-test of prior NEEDS-INFO. Reproduced the exact scenario end-to-end on disposable staging data (credit > invoice) and confirmed the payment now records the invoice amount applied ($1,078.71), with the surplus retained as credit ($421.29). Bug does not reproduce."
SV-5277,customer portal / customers,v0.48 Regressions,STILL-REPRODUCES,medium,"After creating a new customer on Staging, the system does not open the new contact modal (sometimes it appears briefly and then closes automatically). Not reproducible on Production.","Logged in as admin, navigated to Customers. | Clicked New Customer, filled Name = 'ZZAUTOTEST Cust 22878', clicked Save. | Polled for 6 seconds watching for a New Contact / Add Contact modal (q-dialog visibility + contact-form text).","After creating a new customer, the New Contact modal should open (as it does on Production) so the user can immediately add a contact.","After Save, the app navigated directly to the new customer's detail page (ZZAUTOTEST Cust 22878, Contacts 0 / Assets 0). No New Contact modal opened at any point during the 6-second observation window (dialogVisible=0 throughout). (A separate, unrelated 'Google Maps' error dialog appeared on the customer page.)",build/bugfix-regression/screenshots/SV-5277.png,"On staging the New Contact modal still does not appear after customer creation, matching the reported behavior. The reporter noted the behavior can be intermittent ('sometimes appears briefly'); in this single run it never appeared. Verdict STILL-REPRODUCES; confidence medium due to the reported intermittency."
SV-5296,work orders,v0.48 Regressions,STILL-REPRODUCES,high,"Opening a specific work order (client S-30660) fails to load and shows 'Ooooops! An error occurred. For more information, please contact support. Include your request ID: [...]'. Reported as unable to reproduce on the test account.","As admin, pulled the work-orders list and called GET /api/work-orders/view/{id} for several work orders across statuses. | Found work order S9-24917 (id 7a6b0b7f-9329-4c89-b2d4-8d288ca886c5) returned HTTP 500; retried the same view endpoint 4 times. | Interleaved a known-good WO (S-24674) to rule out session/transient errors. | Attempted to open S9-24917 in the SPA UI (/workorders/{id}/lines).",Work orders should open normally; no work order should fail to load with a server error / request ID.,"WO S9-24917 persistently fails to open: GET /api/work-orders/view/7a6b0b7f... returns HTTP 500 on all 4 attempts with a body containing an error message plus a 'requestId' (e.g. ff66cc00-..., cf70c927-...), while other work orders (S-24674 paid, S9-24669/24661/24662 invoiced, S-24656 paid) return HTTP 200 and open fine. In the SPA, opening this WO does not render the detail page - it redirects/bounces to the work-orders list (the SPA's handling of the failed load) rather than showing the detail. This is the same failure mode as the report: a work order that cannot be opened due to a backend error carrying a request ID.",build/bugfix-regression/screenshots/SV-5296.png,"The client's specific WO (S-30660) is prod/account-specific and not accessible here, but the identical failure mode reproduces on staging with WO S9-24917: persistent HTTP 500 + requestId on the WO view endpoint makes the work order impossible to open. Recommend investigating the 500 with the captured request IDs (server-side data issue on that WO). Screenshot shows the SPA bounce to the WO list on failed load; primary evidence is the reproducible 500+requestId from the API."
SV-5321,invoicing / accounting,v0.48 Regressions,FIXED,high,"When shop supplies and/or tax settings are updated from the Financial Info section while the user is already viewing the Finance tab of a work order, the Finance tab does not auto-refresh; updated values only appear after a manual page refresh or navigating away and back.","Opened work order S9-24948 Finance tab (invoice preview shows 'GST (5%)' tax line). | In the left 'Financial Info' section clicked the edit (Edit shop supplies charge) control to enter edit mode (Shop Supplies $, Taxes dropdown, Save). | Changed the Taxes dropdown from GST (5%) to 'Exempt (0%)' and clicked Save. | Without reloading the page, re-read the invoice preview and the Financial Info section.","After saving shop supplies/tax changes in Financial Info, the Finance tab (invoice/estimate preview) should update automatically without a manual refresh.","Immediately after Save (no page refresh), the Financial Info section updated its tax row from 'GST' to 'Exempt', and the invoice/estimate preview reactively updated too - the 'GST (5%)' tax line was removed from the preview (Subtotal now flows straight to Total). Available tax options observed: Exempt (0%), GST (5%), HST (13%), HST BC (12%), New Tax (10%), Zero Tax Rate (0%). Both the sidebar and the preview reflected the new tax setting without a manual refresh.",build/bugfix-regression/screenshots/SV-5321.png,"Verified the tax-settings path (label change is observable regardless of amounts). The Finance preview auto-refreshed on save. Test WO amounts were $0 so a shop-supplies dollar delta was not separately observable, but the same Financial Info Save drives both fields and the preview updated reactively. The Finance deep-link/tab was intermittently flaky (occasional bounce to WO list) but rendered on retry."
SV-5750,invoicing / accounting,v0.54 Bug Fixes,NOT-TESTABLE,medium,"For a specific production account (Caledonia Truck & Trailer Repair Inc., customer Paul Kolobutin, Work Order S-1028): the invoice showed as Paid on the Work Order screen, but under the customer record there were no payments and no unpaid invoices listed, while the invoice still appeared as outstanding in the A/R Aging Summary. The associated payment did not display under the customer record (orphaned/mis-linked payment).",Logged in as admin. Enumerated work orders and filtered for status=paid to locate a paid invoice to inspect. | Attempted to reproduce the specific data-integrity condition (paid invoice whose payment is not visible under the customer and that still shows in A/R Aging) on staging. | Probed company/invoice/A-R endpoints to reconcile a paid invoice against its customer's payment records.,"A paid invoice's payment is correctly linked to and visible under the customer record, and the invoice no longer appears as outstanding in the A/R Aging report.","The defect is a data-integrity issue tied to specific production records (a particular customer, invoice S-1028, and an orphaned payment) that do not exist on staging. The original ticket itself was filed with steps 'Unable to reproduce', i.e. even the reporting/QA team could not reproduce the corrupt state on demand. No equivalent corrupt paid-invoice/orphaned-payment record could be located or manufactured on staging to exercise this path.",,"Prod-only data defect. The specific mis-linked payment / A-R-outstanding-while-paid state is not present on staging and was 'Unable to reproduce' when originally reported, so a deterministic staging re-test of this exact record is not possible. Ticket is labelled QAcomplete. A general 'paid invoice shows under customer' happy-path does not validate the specific orphaned-payment fix, so it is not claimed as verification here."
SV-5868,parts / inventory,v0.54 Bug Fixes,FIXED,high,"After deselecting a part category (e.g. 'Filters') from one pricing matrix (74% Markup), the category was not available for selection when trying to assign it to a different matrix (Loyal Customer). Prevented correct pricing of that category.","Logged in as admin, opened Administration -> Pricing (Pricing Matrices, 23 matrices). | Inspected data model via GET /api/pricing-rules/list and GET /api/parts-catalogue/categories-list: each category carries a single pricingMatrixId; 18 categories currently have pricingMatrixId=null (unassigned, i.e. deselected from any matrix). | Opened Edit Price Matrix on 'Ahtasham Price Matrix' (which has no categories) and opened the Category dropdown to see which categories are offered for assignment.",A category that is not currently assigned to a matrix (deselected from its previous matrix) is available for selection in another matrix's Category dropdown.,"The Category dropdown lists exactly the 18 currently-unassigned categories and offers them for selection: .Brake Parts, .Suspension, Ahtasham, Ahtasham exempt, AUTO-Batteries, AUTO-Body, AUTO-Engine, AUTO-HVAC, AUTO-MISC CHARGES, AUTO-Tires & Wheels, C22327 PS Category, C22329 PS Category, C2618 Regression Category, C26597 Category, HD-CORE / FEE, HD-Shop Supply, Machine Sales, Suspension. A category not assigned to any matrix is fully selectable for assignment to another matrix, so a category deselected from one matrix can be reassigned to another.",build/bugfix-regression/screenshots/SV-5868.png,"The dropdown deliberately shows only categories not already bound to a matrix (each category maps to at most one matrix). Since deselecting a category sets its matrix to null, it then appears in the picker of every other matrix. Verified the offered set equals the null-matrix set exactly (18/18)."
