"Date Range: Aug 1, 2026 - Aug 31, 2026"
"As of: 2026-08-06"
"Locations: Staging Heavy Duty - 9919"
"Part #",Description,Category,Vendor,Qty,"Unit Cost","Unit Sell","Total Cost","Total Sell",Margin,"Margin %"
HN8SF-075,"3/4"" NF HEX NUT",HD-Fasteners,"Aiboro Rentals",45.00,$0.49,$1.23,$22.05,$55.35,$33.30,60.2%
1462-10,"5/8"" BRASS TUBE UNION COUPLING FOR NYLON DOT","HD-Hose & Fittings","Humoor Energy",4.00,$5.51,$10.80,$22.04,$43.20,$21.16,49.0%
2--1462-10,"5/8"" BRASS TUBE UNION COUPLING FOR NYLON DOT","HD-Hose & Fittings","Humoor Energy",4.00,$5.51,$10.80,$22.04,$43.20,$21.16,49.0%
3--1462-10,"5/8"" BRASS TUBE UNION COUPLING FOR NYLON DOT","HD-Hose & Fittings","Humoor Energy",4.00,$5.51,$10.80,$22.04,$43.20,$21.16,49.0%
4--84-6107-PK,"1/2 RED SHRINK TUBE","HD-Lighting & Electrical",—,4.00,$5.50,$11.96,$22.00,$47.84,$25.84,54.0%
N2406-12-10,"#12 FEMALE JIC X #10 MALE JIC STRAIGHT RIGID","HD-Hose & Fittings","Humoor Energy",10.00,$2.20,$4.68,$22.00,$46.80,$24.80,53.0%
P556245,"FUEL FILTER (FF167, WF8018/33166, BF825)",HD-Filters,"Niplains Towing",2.00,$11.00,$21.15,$22.00,$42.30,$20.30,48.0%
2--N10004-038BR,"3/8"" 600#  BRASS FULL PORT","HD-Hose & Fittings","Humoor Energy",7.00,$3.14,$6.28,$21.98,$43.96,$21.98,50.0%
FB3X1/8,"FLAT BAR STEEL 3""x1/8""","HD-Fabrication & Building","Faburg Concrete",14.00,$1.57,$3.34,$21.98,$46.76,$24.78,53.0%
N5503-04-04,"1/4"" MALE NPT X 1/4"" FEMALE NPT 45","HD-Hose & Fittings","Humoor Energy",13.00,$1.69,$3.60,$21.97,$46.80,$24.83,53.1%
AS2620C,"ANTI SAIL BRACKET (FLTCR22170)","HD-Truck Accessories","Weriver Electrical",2.00,$10.96,$22.83,$21.92,$45.66,$23.74,52.0%
2--B3057A,"3057 AMBER LIGHT BULB","HD-Lighting & Electrical",—,10.00,$2.19,$4.66,$21.90,$46.60,$24.70,53.0%
ABP-N83-MT2161,"SEALING WASH KIT, 5/8 X 5/8,GM","HD-Cooling & HVAC","Enson Forestry",2.00,$10.95,$22.81,$21.90,$45.62,$23.72,52.0%
CS8SF-050-600,"1/2""X6"" NF BOLT (GR8, HEX)",HD-Fasteners,"Aiboro Rentals",10.00,$2.19,$4.66,$21.90,$46.60,$24.70,53.0%
20526428,"SEALING RING","HD-Engine Comp",—,2.00,$10.93,$19.52,$21.86,$39.04,$17.18,44.0%
76-3309PK,"Deutsch Terminal Pin DT Series 16-14GA","HD-Lighting & Electrical","Aiboro Rentals",14.00,$1.56,$3.32,$21.84,$46.48,$24.64,53.0%
N9059-08-06,"#08 MALE JIC X #06 MALE BSPP A","HD-Hose & Fittings","Humoor Energy",4.00,$5.46,$10.71,$21.84,$42.84,$21.00,49.0%
SLCSC-056,"9/16"" NC STOVER LOCKNUT",HD-Fasteners,"Aiboro Rentals",78.00,$0.28,$0.80,$21.84,$62.40,$40.56,65.0%
ZFWMS-18,"18MM STD PLTD FLAT WASHER",HD-Fasteners,"Aiboro Rentals",84.00,$0.26,$0.74,$21.84,$62.16,$40.32,64.9%
1316645,HOSE,"HD-Engine Comp",—,1.00,$21.81,$36.35,$21.81,$36.35,$14.54,40.0%
2--PC1465-6,"3/8"" BRASS DOT TUBE PUSH-IN 90 ELBOW","HD-Hose & Fittings","Humoor Energy",4.00,$5.45,$10.69,$21.80,$42.76,$20.96,49.0%
23-13216-071,"CABLE SEAL","HD-Lighting & Electrical","Enson Forestry",10.00,$2.18,$4.64,$21.80,$46.40,$24.60,53.0%
3--1491-8,"1/2"" BRASS NUT ONLY FOR RUBBER","HD-Hose & Fittings","Humoor Energy",4.00,$5.45,$10.69,$21.80,$42.76,$20.96,49.0%
3--PC1465-6,"3/8"" BRASS DOT TUBE PUSH-IN 90 ELBOW","HD-Hose & Fittings","Humoor Energy",4.00,$5.45,$10.69,$21.80,$42.76,$20.96,49.0%
4--1491-8,"1/2"" BRASS NUT ONLY FOR RUBBER","HD-Hose & Fittings","Humoor Energy",4.00,$5.45,$12.98,$21.80,$51.92,$30.12,58.0%
PC1465-6,"3/8"" BRASS DOT TUBE PUSH-IN 90 ELBOW","HD-Hose & Fittings","Humoor Energy",4.00,$5.45,$10.69,$21.80,$42.76,$20.96,49.0%
TLED-B3CA,"AMBER MINI BUTTON LED 3/4""","HD-Lighting & Electrical",—,2.00,$10.90,$20.96,$21.80,$41.92,$20.12,48.0%
PC1469S-8C,"1/2"" BRASS DOT TUBE PUSH-IN X 3/8"" SWIVEL MALE NPT 90 ELBOW","HD-Hose & Fittings","Humoor Energy",3.00,$7.25,$14.22,$21.75,$42.66,$20.91,49.0%
SF16CA,"Sea Foam Motor Treatment",Uncategorized,—,3.00,$7.25,$29.00,$21.75,$87.00,$65.25,75.0%
17-180,"Qwik Clamp Hose Holder- 3 Hose","HD-Truck Accessories",—,1.00,$21.73,$39.51,$21.73,$39.51,$17.78,45.0%
2--PC1464-4,"1/4"" BRASS DOT TUBE PUSH-IN TEE","HD-Hose & Fittings","Humoor Energy",4.00,$5.43,$10.65,$21.72,$42.60,$20.88,49.0%
3--PC1464-4,"1/4"" BRASS DOT TUBE PUSH-IN TEE","HD-Hose & Fittings","Humoor Energy",4.00,$5.43,$10.65,$21.72,$42.60,$20.88,49.0%
573.V1224W-5OE,"12"" X 24"" ALUMINUM, WHITE","HD-Trailer Comp",—,1.00,$21.72,$39.49,$21.72,$39.49,$17.77,45.0%
NCP-3703,"1/4"" PLATED ARO-210 NIPPLE X 3/8"" MALE NPT","HD-Hose & Fittings",—,6.00,$3.62,$7.24,$21.72,$43.44,$21.72,50.0%
2--N150-90-050BR,"1/2"" BRASS HOSE MENDER 90","HD-Hose & Fittings","Humoor Energy",10.00,$2.17,$4.62,$21.70,$46.20,$24.50,53.0%
PET-28,"SS HOSE CLAMP (1-3/4"" - 2-1/4""), 1/2"" WIDE","HD-Hose & Fittings","Aiboro Rentals",10.00,$2.17,$4.62,$21.70,$46.20,$24.50,53.0%
2--PC1469S-6A,"3/8"" BRASS DOT TUBE PUSH-IN X 1/8"" SWIVEL MALE NPT 90 ELBOW","HD-Hose & Fittings","Humoor Energy",4.00,$5.42,$10.63,$21.68,$42.52,$20.84,49.0%
209.2317,"SPINDLE NUT 2-7/8""-12","HD-Steering & Suspension","Iview Commercial",2.00,$10.84,$22.58,$21.68,$45.16,$23.48,52.0%
3--PC1469S-6A,"3/8"" BRASS DOT TUBE PUSH-IN X 1/8"" SWIVEL MALE NPT 90 ELBOW","HD-Hose & Fittings","Humoor Energy",4.00,$5.42,$10.63,$21.68,$42.52,$20.84,49.0%
CR7/8,"COLD ROLLED ROUND BAR 7/8""","HD-Fabrication & Building",—,8.00,$2.71,$5.42,$21.68,$43.36,$21.68,50.0%
N75-4751,"1.85-2.01"" T-Bolt Clamp STAINLESS STEEL BAND w/PLATED BOLT MIKALOR CLAMP","HD-Hose & Fittings","Humoor Energy",6.00,$3.61,$7.22,$21.66,$43.32,$21.66,50.0%
HAB-8-18FS,"1/2"" X 18"" AIRBRAKE w/1/2"" FEMALE SAE FLARE SWIVEL","HD-Air Brakes & Air Suspension","Humoor Energy",2.00,$10.82,$22.54,$21.64,$45.08,$23.44,52.0%
N75-7985,"3.11-3.35"" T-Bolt Clamp, STAINLESS STEEL BAND w/PLATED BOLT MIKALOR CLAMP","HD-Hose & Fittings","Humoor Energy",4.00,$5.41,$10.61,$21.64,$42.44,$20.80,49.0%
41-05-0160US,"1410 U-Joint","HD-Equipment & Hydraulics","Oisquare Electrical",1.00,$21.61,$61.74,$21.61,$61.74,$40.13,65.0%
2--1469-6B,"3/8"" BRASS TUBE X 1/4"" MALE NPT 90 ELBOW FOR NYLON DOT","HD-Hose & Fittings","Humoor Energy",9.00,$2.40,$5.11,$21.60,$45.99,$24.39,53.0%
2--N260-075-013BR,"110-EA 3/4"" X 1/8"" BRASS REDUCER BUSHING","HD-Hose & Fittings","Humoor Energy",9.00,$2.40,$5.11,$21.60,$45.99,$24.39,53.0%
N5405-06-04,"3/8"" MALE NPT X 1/4"" FEMALE NPT STRAIGHT","HD-Hose & Fittings","Humoor Energy",12.00,$1.80,$3.83,$21.60,$45.96,$24.36,53.0%
N6801-10-12,"#10 MALE JIC X #12 MALE ORB 90","HD-Hose & Fittings","Humoor Energy",6.00,$3.60,$7.20,$21.60,$43.20,$21.60,50.0%
X12-1207,"MAGNETIC DIFF DRAIN PLUGS 3/4"" NPT","HD-Drive Train",—,5.00,$4.32,$9.39,$21.60,$46.95,$25.35,54.0%
179.1062,"SOCKET DUAL POLE VERTICAL (15328, 82-1041V)","HD-Lighting & Electrical","Iview Commercial",2.00,$10.79,$20.75,$21.58,$41.50,$19.92,48.0%
5402022,"GASKET ,EXH.",Uncategorized,"Enson Forestry",1.00,$21.58,$61.66,$21.58,$61.66,$40.08,65.0%
ABP-N83-MT1217,"WASH/ORING KIT, CHRY 5073612AB","HD-Cooling & HVAC","Enson Forestry",2.00,$10.77,$22.44,$21.54,$44.88,$23.34,52.0%
TBC-325,"T-BOLT CLAMP -3.00"" X 3.31""","HD-Hose & Fittings","Uivale Consulting",3.00,$7.18,$14.08,$21.54,$42.24,$20.70,49.0%
19121703,"WHEEL SEAL","HD-Wheel Comp",—,2.00,$10.76,$20.69,$21.52,$41.38,$19.86,48.0%
23-13738-000,"ELBOW - 90 DEGREE, M16 X 1.5, MALE O RING, - 4 PTC","HD-Hose & Fittings","Enson Forestry",1.00,$21.47,$39.76,$21.47,$39.76,$18.29,46.0%
235-174,"1/2""X2"" NC SKT CAPSCREW",HD-Fasteners,"Aiboro Rentals",29.00,$0.74,$1.85,$21.46,$53.65,$32.19,60.0%
FDU-2,"JUNCTION BOX","HD-Lighting & Electrical","Aeland Design",1.00,$21.46,$39.74,$21.46,$39.74,$18.28,46.0%
AI-1-968876-1,"TERMINAL, FEMALE 16-14 AWG","HD-Lighting & Electrical","Enson Forestry",33.00,$0.65,$1.63,$21.45,$53.79,$32.34,60.1%
4--6657,"4/0 CRIMP SPLICER ","HD-Lighting & Electrical","Aiboro Rentals",4.00,$5.36,$10.51,$21.44,$42.04,$20.60,49.0%
4--PC1464-8," 1/2"" BRASS DOT TUBE PUSH-IN TEE","HD-Hose & Fittings",—,2.00,$10.71,$20.60,$21.42,$41.20,$19.78,48.0%
110.2208,"CAMSHAFT REPAIR KIT ","HD-Heavy Duty Brake Comp","Iview Commercial",5.00,$4.28,$9.30,$21.40,$46.50,$25.10,54.0%
3103015,"Coolant Line Grommet Seal","HD-Engine Comp","Enson Forestry",4.00,$5.35,$9.91,$21.40,$39.64,$18.24,46.0%
ABP-N83-MT1298,"WASH/ORING KIT, CHRY 5127373AA","HD-Cooling & HVAC","Enson Forestry",2.00,$10.68,$22.25,$21.36,$44.50,$23.14,52.0%
76-3351PK,"4 Wire DTP Plug- 10-14 AWG","HD-Lighting & Electrical","Aiboro Rentals",1.00,$21.34,$39.52,$21.34,$39.52,$18.18,46.0%
FF5320,"Fuel FIlter, Caterpillar",HD-Filters,"Enson Forestry",2.00,$10.67,$20.52,$21.34,$41.04,$19.70,48.0%
2--PC1469S-8C,"1/2"" BRASS DOT TUBE PUSH-IN X 3/8"" SWIVEL MALE NPT 90 ELBOW","HD-Hose & Fittings","Humoor Energy",3.00,$7.11,$13.94,$21.33,$41.82,$20.49,49.0%
N150T-038BR,"123-6 3/8"" BRASS HOSE BARB TEE","HD-Hose & Fittings","Humoor Energy",9.00,$2.36,$5.02,$21.24,$45.18,$23.94,53.0%
N6801-08-04,"#08 MALE JIC X #04 MALE ORB 90","HD-Hose & Fittings","Humoor Energy",8.00,$2.65,$5.30,$21.20,$42.40,$21.20,50.0%
10953456,"Dex-Cool Coolant, Premix (Sold Per Litre)",HD-Fluids,"Yahall Energy",2.00,$10.57,$16.26,$21.14,$32.52,$11.38,35.0%
23521528,"Fuel/Water Separator, Detroit OEM, Fuel Pro 380/382",HD-Filters,"Keman Electrical",2.00,$10.57,$20.33,$21.14,$40.66,$19.52,48.0%
FUL-55509,"AIR BRAKE HOSE ASSY","HD-Air Brakes & Air Suspension","Humoor Energy",1.00,$21.13,$38.42,$21.13,$38.42,$17.29,45.0%
84-2420,"16-14GA. SHRINK SPADE","HD-Lighting & Electrical","Aiboro Rentals",24.00,$0.88,$1.96,$21.12,$47.04,$25.92,55.1%
ZPSCN4,"1/4 BRAKE LINE (PAC-425)","HD-Hose & Fittings","Baplains Solutions",11.00,$1.92,$4.09,$21.12,$44.99,$23.87,53.1%
1/4x2FS,"1/4"" x 2"" Flat Steel",Uncategorized,"Faburg Concrete",10.00,$2.11,$8.44,$21.10,$84.40,$63.30,75.0%
ZFWMS-16,"16MM FLAT WASHER",HD-Fasteners,"Aiboro Rentals",111.00,$0.19,$0.54,$21.09,$59.94,$38.85,64.8%
I7-3/8,"3/8 GOLD GR70 CHAIN","HD-Fabrication & Building",—,6.00,$3.51,$7.02,$21.06,$42.12,$21.06,50.0%
1474-8B,"1/2"" BRASS TUBE X 1/4"" MALE NPT 45 ELBOW FOR NYLON DOT","HD-Hose & Fittings","Humoor Energy",4.00,$5.26,$10.31,$21.04,$41.24,$20.20,49.0%
3--1474-8B,"1/2"" BRASS TUBE X 1/4"" MALE NPT 45 ELBOW FOR NYLON DOT","HD-Hose & Fittings","Humoor Energy",4.00,$5.26,$10.31,$21.04,$41.24,$20.20,49.0%
561.46123,"RADIATOR HOSE 90 DEGREE FREIGHTLINER","HD-Cooling & HVAC","Iview Commercial",1.00,$21.04,$38.25,$21.04,$38.25,$17.21,45.0%
"1-1/4""SCH40","1-1/4"" Schedule 40 Pipe","HD-Fabrication & Building","Faburg Concrete",6.00,$3.50,$6.99,$21.00,$41.94,$20.94,49.9%
1468-4C,"1/4"" BRASS TUBE X 3/8"" MALE NPT FOR NYLON DOT","HD-Hose & Fittings","Humoor Energy",14.00,$1.50,$3.19,$21.00,$44.66,$23.66,53.0%
2--PC1468-3B,"3/16"" BRASS DOT TUBE PUSH-IN X 1/4"" MALE NPT","HD-Hose & Fittings","Humoor Energy",4.00,$5.25,$10.29,$21.00,$41.16,$20.16,49.0%
2--PC1469S-6C,"3/8"" BRASS DOT TUBE PUSH-IN X 3/8"" SWIVEL MALE NPT 90 ELBOW","HD-Hose & Fittings","Humoor Energy",4.00,$5.25,$10.29,$21.00,$41.16,$20.16,49.0%
3--PC1469S-6C,"3/8"" BRASS DOT TUBE PUSH-IN X 3/8"" SWIVEL MALE NPT 90 ELBOW","HD-Hose & Fittings","Humoor Energy",4.00,$5.25,$10.29,$21.00,$41.16,$20.16,49.0%
B107515N,"AIR COMPRESSOR UNLOADER KIT","HD-Air Brakes & Air Suspension","Weriver Electrical",1.00,$20.97,$38.13,$20.97,$38.13,$17.16,45.0%
RA910,"DOCUMENT HOLDER PLACARD STYLE","HD-Trailer Comp",—,3.00,$6.99,$15.20,$20.97,$45.60,$24.63,54.0%
1469-8D,"1/2"" BRASS TUBE X 1/2"" MALE NPT 90 ELBOW FOR NYLON DOT","HD-Hose & Fittings","Humoor Energy",4.00,$5.24,$10.27,$20.96,$41.08,$20.12,49.0%
CS8SC-056-550,"9/16""X5-1/2"" NC BOLT (GR8, HEX)",HD-Fasteners,"Aiboro Rentals",8.00,$2.62,$5.24,$20.96,$41.92,$20.96,50.0%
76-3325PK,"Deutsch Housing & Wedgelock- DT Series 2-Way","HD-Lighting & Electrical","Aiboro Rentals",6.00,$3.49,$6.98,$20.94,$41.88,$20.94,50.0%
571.H9007,"HALOGEN CAPSULE 9007/HB5 12V (82104)","HD-Lighting & Electrical","Iview Commercial",7.00,$2.99,$5.98,$20.93,$41.86,$20.93,50.0%
571.RF4SMA,"Reflector, 4"" Oval, Amber, Screw-Mount","HD-Lighting & Electrical","Iview Commercial",13.00,$1.61,$3.43,$20.93,$44.59,$23.66,53.1%
N216-075BR,"115-E 3/4"" BRASS EXTRUDED 90 STREET ELBOW","HD-Hose & Fittings","Humoor Energy",3.00,$6.97,$13.67,$20.91,$41.01,$20.10,49.0%
2--1492-6D,"3/8"" X 1/2"" BRASS MALE NPT FOR RUBBER DOT HOSE","HD-Hose & Fittings","Humoor Energy",5.00,$4.18,$8.36,$20.90,$41.80,$20.90,50.0%
CS8SC-062-600,"5/8""X6"" NC BOLT (GR8, HEX)",HD-Fasteners,"Aiboro Rentals",7.00,$2.98,$5.96,$20.86,$41.72,$20.86,50.0%
2--N68031-08-08,"#08 BRASS PUSH-ON X #08 FEMALE","HD-Hose & Fittings","Humoor Energy",10.00,$2.08,$4.43,$20.80,$44.30,$23.50,53.1%
CS8SC-075-400,"3/4""X4"" NC BOLT (GR8, HEX)",HD-Fasteners,"Aiboro Rentals",8.00,$2.60,$5.20,$20.80,$41.60,$20.80,50.0%
2--1472-8C,"1/2"" BRASS TUBE X 3/8"" MALE NPT BRANCH TEE FOR NYLON DOT","HD-Hose & Fittings","Humoor Energy",7.00,$2.97,$5.94,$20.79,$41.58,$20.79,50.0%
CS8SC-100-500,"1""X5"" GR8 PL NC BOLT",HD-Fasteners,"Aiboro Rentals",3.00,$6.93,$13.59,$20.79,$40.77,$19.98,49.0%
ZNNM10SC-14,"14MM COURSE NYLON LOCKNUT",HD-Fasteners,"Aiboro Rentals",31.00,$0.67,$1.68,$20.77,$52.08,$31.31,60.1%
077038,"Slider, Walk Ramp","HD-Truck Accessories",—,1.00,$20.75,$37.73,$20.75,$37.73,$16.98,45.0%
571.LG21R,"Marker Light, 2"" x 6"" Rectangle, Reflex Lens, Red, Incandescent","HD-Lighting & Electrical","Iview Commercial",5.00,$4.15,$8.30,$20.75,$41.50,$20.75,50.0%
3922794,O-Ring,"HD-Hose & Fittings",—,4.00,$5.18,$10.16,$20.72,$40.64,$19.92,49.0%
ABP-N83-MT1343,"WASH/ORING KIT, FORD","HD-Cooling & HVAC","Enson Forestry",2.00,$10.36,$21.58,$20.72,$43.16,$22.44,52.0%
2--84-2432PK,"16-14GA HEAT SHRINK QUICK CONN.","HD-Lighting & Electrical","Aiboro Rentals",19.00,$1.09,$2.32,$20.71,$44.08,$23.37,53.0%
66910,"Turtleback® II Double-Seal Light Pigtail, Slim-Line .180"" Male","HD-Lighting & Electrical",—,6.00,$3.45,$6.90,$20.70,$41.40,$20.70,50.0%
571.LG601A,"Turn Signal, 6"" Oval, Midship, Amber, Incandescent","HD-Lighting & Electrical","Iview Commercial",4.00,$5.17,$10.14,$20.68,$40.56,$19.88,49.0%
2--N216-038BR,"115-C 3/8"" BRASS EXTRUDED 90 STREET ELBOW","HD-Hose & Fittings","Humoor Energy",9.00,$2.29,$4.87,$20.61,$43.83,$23.22,53.0%
1836005C1,"High Pressure Fuel Pump Mount Gasket ","HD-Engine Comp","Xistone Consulting",1.00,$20.60,$34.33,$20.60,$34.33,$13.73,40.0%
PATM-30LP,"30 AMP ATM FUSE LO/PRO","HD-Lighting & Electrical","Aiboro Rentals",42.00,$0.49,$1.23,$20.58,$51.66,$31.08,60.2%
680-E72,"7 WAY AUX SOCKET SPLIT PIN","HD-Lighting & Electrical","Weriver Electrical",1.00,$20.57,$38.09,$20.57,$38.09,$17.52,46.0%
2--1469-10C,"5/8"" BRASS TUBE X 3/8"" MALE NPT 90 ELBOW FOR NYLON DOT","HD-Hose & Fittings","Humoor Energy",5.00,$4.11,$8.22,$20.55,$41.10,$20.55,50.0%
2--178.2553,"ELECTRONIC FLASHER 2 TERMINAL 12VDC 2 PRONG2-10 INCANDESCENT LAMPS(44810)","HD-Lighting & Electrical","Iview Commercial",2.00,$10.27,$19.75,$20.54,$39.50,$18.96,48.0%
3--178.2553,"ELECTRONIC FLASHER 2 TERMINAL 12VDC 2 PRONG2-10 INCANDESCENT LAMPS(44810)","HD-Lighting & Electrical","Iview Commercial",2.00,$10.27,$19.75,$20.54,$39.50,$18.96,48.0%
561.15350,"CAC HOSE HOT CHARGE AIR","HD-Cooling & HVAC","Iview Commercial",1.00,$20.54,$37.35,$20.54,$37.35,$16.81,45.0%
2--84-2440PK,"12-10GA FEMALE SLIDE DISC","HD-Lighting & Electrical","Aiboro Rentals",19.00,$1.08,$2.30,$20.52,$43.70,$23.18,53.0%
60280,"Small Rectangular License Light Kit, 60261 & 43830","HD-Lighting & Electrical",—,2.00,$10.25,$19.71,$20.50,$39.42,$18.92,48.0%
ZHNM10BC-18,"18MM GR10 BLK CRS NUT",HD-Fasteners,"Aiboro Rentals",25.00,$0.82,$1.82,$20.50,$45.50,$25.00,55.0%
4--PC1472S-8C," 1/2"" BRASS DOT TUBE PUSH-IN X 3/8"" SWIVEL MNPT BRANCH TEE","HD-Hose & Fittings",—,2.00,$10.21,$19.63,$20.42,$39.26,$18.84,48.0%
2--1495-C,"3/8"" X 3/8""  FEM","HD-Hose & Fittings","Humoor Energy",6.00,$3.40,$6.80,$20.40,$40.80,$20.40,50.0%
4--PC1474S-8B," 1/2"" BRASS DOT TUBE PUSH-IN X 1/4"" SWIVEL MALE NPT 45° ELBOW","HD-Hose & Fittings",—,2.00,$10.20,$19.62,$20.40,$39.24,$18.84,48.0%
A4721420853,"SLEEVE GUIDE HDEP EPA07/EPA10/GHG17","HD-Engine Comp","Enson Forestry",12.00,$1.70,$3.15,$20.40,$37.80,$17.40,46.0%
N6602-12-12,"#12 MALE JIC X #12 FEMALE JIC SWIVEL X #12 MALE JIC TEE","HD-Hose & Fittings","Humoor Energy",4.00,$5.09,$9.98,$20.36,$39.92,$19.56,49.0%
2--145-6B,"3/8"" BRASS SAE INVERTED FLARE X 1/4"" CENTER MALE NPT TEE","HD-Hose & Fittings","Humoor Energy",2.00,$10.16,$19.54,$20.32,$39.08,$18.76,48.0%
178.2555,"LED FLASHER 12VDC 3 Prong2W - 100W(091225)","HD-Lighting & Electrical","Iview Commercial",1.00,$20.30,$37.59,$20.30,$37.59,$17.29,46.0%
N9500-10,"#10 BSPP BONDED SEAL","HD-Hose & Fittings","Humoor Energy",29.00,$0.70,$1.75,$20.30,$50.75,$30.45,60.0%
1460-4,"1/4"" BRASS TUBE SLEEVE FOR NYLON DOT","HD-Hose & Fittings","Humoor Energy",25.00,$0.81,$1.80,$20.25,$45.00,$24.75,55.0%
NL560-016,"5/32 SYNFLEX, BLACK GENUINE SAE J844 DOT AIRBRAKE TUBING","HD-Hose & Fittings","Humoor Energy",25.00,$0.81,$1.80,$20.25,$45.00,$24.75,55.0%
2--84-6106PK,"1/8 RED SHRINK TUBE","HD-Shop Supply",—,11.00,$1.84,$7.36,$20.24,$80.96,$60.72,75.0%
3--PC1462-8,"1/2"" BRASS DOT TUBE PUSH-IN UN","HD-Hose & Fittings","Humoor Energy",5.00,$4.04,$8.08,$20.20,$40.40,$20.20,50.0%
"5297806 ",O-Ring,"HD-Engine Comp","Enson Forestry",5.00,$4.04,$7.48,$20.20,$37.40,$17.20,46.0%
6V5048,SEAL-O-RING,"HD-Engine Comp",—,4.00,$5.05,$9.35,$20.20,$37.40,$17.20,46.0%
SQT1-1/4x1-1/4x.100,"STEEL SQUARE TUBE, 1-1/4""x1-1/4""x.100""","HD-Fabrication & Building","Faburg Concrete",10.00,$2.02,$4.30,$20.20,$43.00,$22.80,53.0%
2242675,SEAL-PRESS,"HD-Engine Comp",—,1.00,$20.18,$33.63,$20.18,$33.63,$13.45,40.0%
260406,"Hydraulic Filter, P717534 (Moffett) (HF35205)",HD-Filters,"Iuboro Transport",1.00,$20.18,$35.40,$20.18,$35.40,$15.22,43.0%
N150-90-075BR,"3/4"" BRASS HOSE MENDER 90","HD-Hose & Fittings","Humoor Energy",3.00,$6.72,$13.18,$20.16,$39.54,$19.38,49.0%
1471-8C,"1/2"" BRASS TUBE X 3/8"" MALE NP","HD-Hose & Fittings","Humoor Energy",6.00,$3.35,$6.70,$20.10,$40.20,$20.10,50.0%
577.3005,"TOGGLE SWITCH ON/OFF/ON (34577, 5502107)","HD-Lighting & Electrical","Iview Commercial",5.00,$4.01,$8.02,$20.05,$40.10,$20.05,50.0%
2--178.55511,"RELAY MINI SKIRT 4 PIN 12V 40A SPST RSTR (3331335066, X3368720, 13501)","HD-Lighting & Electrical","Iview Commercial",2.00,$10.02,$19.27,$20.04,$38.54,$18.50,48.0%
2--571.H11,"HALOGEN CAPSULE H11 12V (82100)","HD-Lighting & Electrical","Iview Commercial",4.00,$5.01,$9.82,$20.04,$39.28,$19.24,49.0%
3--178.55511,"RELAY MINI SKIRT 4 PIN 12V 40A SPST RSTR (3331335066, X3368720, 13501)","HD-Lighting & Electrical","Iview Commercial",2.00,$10.02,$19.27,$20.04,$38.54,$18.50,48.0%
NFF0304-C-16,"#16 FEMALE ORFS CAP","HD-Hose & Fittings","Humoor Energy",6.00,$3.34,$6.68,$20.04,$40.08,$20.04,50.0%
1474-6B,"3/8"" BRASS TUBE X 1/4"" MALE NPT 45 ELBOW FOR NYLON DOT","HD-Hose & Fittings","Humoor Energy",8.00,$2.50,$5.32,$20.00,$42.56,$22.56,53.0%
178.55510,"Relay ISO Mini 4 Pin 12V 40A SPST-NC IHC","HD-Lighting & Electrical","Iview Commercial",2.00,$10.00,$19.61,$20.00,$39.22,$19.22,49.0%
2--1474-4A,"1/4"" BRASS TUBE X 1/8"" MALE NPT 45 ELBOW FOR NYLON DOT","HD-Hose & Fittings","Humoor Energy",10.00,$2.00,$4.26,$20.00,$42.60,$22.60,53.1%
3--76-2404PK,"22-18GA SEEMLESS BUTT CONNECTR","HD-Lighting & Electrical","Aiboro Rentals",100.00,$0.20,$0.57,$20.00,$57.00,$37.00,64.9%
330-3040,"HUB CAP GASKET 4 HOLE","HD-Wheel Comp",—,8.00,$2.50,$5.32,$20.00,$42.56,$22.56,53.0%
DDE-23527272,C-O-RING,"HD-Engine Comp",—,2.00,$10.00,$18.52,$20.00,$37.04,$17.04,46.0%
PATM-20LP,"20 AMP ATM FUSE LO/PRO","HD-Lighting & Electrical","Aiboro Rentals",40.00,$0.50,$1.25,$20.00,$50.00,$30.00,60.0%
ZLWMS-16,"16MM STD PLATED LOCKWASHER",HD-Fasteners,"Aiboro Rentals",125.00,$0.16,$0.46,$20.00,$57.50,$37.50,65.2%
1227D940,"Yoke Nut","HD-Steering & Suspension","Ruridge Mining",1.00,$19.98,$37.70,$19.98,$37.70,$17.72,47.0%
670-42,"SOCKET 4 WAY","HD-Trailer Comp",—,3.00,$6.66,$14.48,$19.98,$43.44,$23.46,54.0%
78-0245,"Exhaust Gasket, 2.5"" ID, Paccar",HD-Exhaust,—,1.00,$19.98,$37.70,$19.98,$37.70,$17.72,47.0%
8392201,"HARNESS- 40A 18 GUAGE","HD-Lighting & Electrical",—,1.00,$19.98,$37.70,$19.98,$37.70,$17.72,47.0%
84-2075PK,"5 WAY FEMALE CONNECTOR","HD-Lighting & Electrical","Aiboro Rentals",9.00,$2.22,$4.72,$19.98,$42.48,$22.50,53.0%
BE13250-G,"PNEUMATIC SWITCH","HD-Air Brakes & Air Suspension",—,2.00,$9.99,$21.72,$19.98,$43.44,$23.46,54.0%
100-073,"BRIGGS & STRATTON AIR FILTER (393957S, 42291)",HD-Filters,"Oowell Services",1.00,$19.97,$35.66,$19.97,$35.66,$15.69,44.0%
42-10," 5/8"" BRASS MALE SAE X 5/8"" MALE SAE UNION COUPLING","HD-Hose & Fittings","Humoor Energy",7.00,$2.85,$5.70,$19.95,$39.90,$19.95,50.0%
5P5846,"SEAL O RING","HD-Engine Comp",—,1.00,$19.95,$34.40,$19.95,$34.40,$14.45,42.0%
